DATE,XRNCUSGBA618NRUG
1960-01-01,0.35717130981027856
1961-01-01,0.35717130981027856
1962-01-01,0.35717130981027856
1963-01-01,0.35717130981027856
1964-01-01,0.35717130981027856
1965-01-01,0.35717130981027856
1966-01-01,0.35717130981027856
1967-01-01,0.36213199595557827
1968-01-01,0.4167000203910501
1969-01-01,0.4167000203910501
1970-01-01,0.41666699941666696
1971-01-01,0.41092023742942463
1972-01-01,0.4003904615300082
1973-01-01,0.40817094529930764
1974-01-01,0.4277564397476634
1975-01-01,0.45204116566666663
1976-01-01,0.5565098323333333
1977-01-01,0.573271999
1978-01-01,0.5215045823333333
1979-01-01,0.4721811656666666
1980-01-01,0.430294999
1981-01-01,0.4976413323333333
1982-01-01,0.5724468323333334
1983-01-01,0.6597245823333333
1984-01-01,0.7518066662499999
1985-01-01,0.77924599975
1986-01-01,0.6821973333333333
1987-01-01,0.6119265
1988-01-01,0.5621701666666666
1989-01-01,0.61117275
1990-01-01,0.5631771666666666
1991-01-01,0.5670153333333333
1992-01-01,0.5697741666666667
1993-01-01,0.6667565533333334
1994-01-01,0.6534266041666666
1995-01-01,0.6336681200000001
1996-01-01,0.640958255
1997-01-01,0.6108361141666667
1998-01-01,0.6038235941666665
1999-01-01,0.618056845
2000-01-01,0.6609308333333332
2001-01-01,0.694655
2002-01-01,0.6672233333333334
2003-01-01,0.6124725
2004-01-01,0.54618
2005-01-01,0.5499983333333334
2006-01-01,0.5434866666666667
2007-01-01,0.4997716666666666
2008-01-01,0.5439662500000001
2009-01-01,0.641919263495996
2010-01-01,0.647179345560165
2011-01-01,0.624140835740495
2012-01-01,0.633046988857327
2013-01-01,0.639660577613477
2014-01-01,0.607729626878255
2015-01-01,0.654545478931426
2016-01-01,0.740634463697084
2017-01-01,0.777002598115976
2018-01-01,0.749581637653177
2019-01-01,0.783445110011929
